species,slug,legacy_folder
Agglutinella soriformis,Agglutinella_soriformis,
Ammoscalaria pseudospiralis,Ammoscalaria_pseudospiralis,
Amphicoryna scalaris,Amphicoryna_scalaris,Amphicoryna scalaris
Amphistegina radiata,Amphistegina_radiata,
Bigenerina nodosaria,Bigenerina_nodosaria,
Cibicides corticatus,Cibicides_corticatus,Cibicides corticatus
Cribroelphidium clavatum,Cribroelphidium_clavatum,Cribroelphidium clavatum
Cylindroclavulina bradyi,Cylindroclavulina_bradyi,
Hoeglundina elegans,Hoeglundina_elegans,Hoeglundina elegans
Karreriella bradyi,Karreriella_bradyi,
Lenticulina suborbicularis,Lenticulina_suborbicularis,Lenticulina suborbicularis
Miliolinella circularis,Miliolinella_circularis,
Neorotalia calcar,Neorotalia_calcar,
Nodulina dentaliniformis,Nodulina_dentaliniformis,
Operculina ammonoides,Operculina_ammonoides,
Pseudotriloculina limbata,Pseudotriloculina_limbata,
Pyrgo depressa,Pyrgo_depressa,
Pyrgo inornata,Pyrgo_inornata,
Quinqueloculina bosciana,Quinqueloculina_bosciana,
Quinqueloculina crassicarinata,Quinqueloculina_crassicarinata,
Quinqueloculina pulchella,Quinqueloculina_pulchella,
Sahulia kerimbaensis,Sahulia_kerimbaensis,
Siphonaperta arenata,Siphonaperta_arenata,
Siphouvigerina proboscidea,Siphouvigerina_proboscidea,Siphouvigerina proboscidea
Sorites orbiculus,Sorites_orbiculus,
Spiroloculina communis,Spiroloculina_communis,
Spiroloculina ornata,Spiroloculina_ornata,
Spirosigmoilina parri,Spirosigmoilina_parri,
Spirotextularia floridana,Spirotextularia_floridana,
Triloculina plicata,Triloculina_plicata,
Triloculina trigonula,Triloculina_trigonula,
