image_path,true_species,difficulty_stratum,cohort_version,inclusion_reason
data/audit_images/image.tif,Spiroloculina communis,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0001.tif,Spiroloculina communis,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0002.tif,Spiroloculina communis,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0003.tif,Triloculina plicata,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0004.tif,Triloculina plicata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0005.tif,Quinqueloculina bosciana,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0006.tif,Quinqueloculina pulchella,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0007.tif,Quinqueloculina crassicarinata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0008.tif,Spiroloculina communis,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0009.tif,Triloculina plicata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0010.tif,Quinqueloculina bosciana,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0011.tif,Quinqueloculina bosciana,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0012.tif,Quinqueloculina pulchella,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0013.tif,Miliolinella circularis,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0014.tif,Triloculina trigonula,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0015.tif,Spiroloculina ornata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0016.tif,Quinqueloculina pulchella,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0017.tif,Quinqueloculina crassicarinata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0018.tif,Triloculina trigonula,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0019.tif,Spiroloculina ornata,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0020.tif,Spirosigmoilina parri,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0021.tif,Pyrgo inornata,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0022.tif,Pyrgo inornata,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0023.tif,Pyrgo inornata,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0024.tif,Pyrgo depressa,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0025.tif,Pyrgo depressa,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0026.tif,Pyrgo depressa,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0027.tif,Pseudotriloculina limbata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0028.tif,Pseudotriloculina limbata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0029.tif,Nodulina dentaliniformis,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0030.tif,Ammoscalaria pseudospiralis,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0031.tif,Cylindroclavulina bradyi,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0032.tif,Karreriella bradyi,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0033.tif,Spirotextularia floridana,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0034.tif,Spirotextularia floridana,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0035.tif,Sahulia kerimbaensis,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0036.tif,Agglutinella soriformis,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0037.tif,Sahulia kerimbaensis,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0038.tif,Spirotextularia floridana,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0039.tif,Siphonaperta arenata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0040.tif,Siphonaperta arenata,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0041.tif,Siphonaperta arenata,difficult,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0042.tif,Siphonaperta arenata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0043.tif,Siphonaperta arenata,normal,prediction_audit_v2,locked_prediction_audit_cohort
data/audit_images/image0044.tif,Sahulia kerimbaensis,normal,prediction_audit_v2,locked_prediction_audit_cohort
