species,specimen_id,view_id,path,source,z_index,path_resized,split
Agglutinella soriformis,20,1,data/train_images/Agglutinella soriformis_20_view1_gif_original.png,gif_original,,data/train_images/Agglutinella soriformis_20_view1_gif_original.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_stacked.tif,stacked_tiff,,data/train_images/Agglutinella soriformis_20_view1_stacked_tiff.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0000_C00.tif,zstack_slice,0.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0000.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0001_C00.tif,zstack_slice,1.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0001.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0002_C00.tif,zstack_slice,2.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0002.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0003_C00.tif,zstack_slice,3.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0003.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0004_C00.tif,zstack_slice,4.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0004.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0005_C00.tif,zstack_slice,5.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0005.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0006_C00.tif,zstack_slice,6.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0006.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0007_C00.tif,zstack_slice,7.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0007.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0008_C00.tif,zstack_slice,8.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0008.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0009_C00.tif,zstack_slice,9.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0009.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0010_C00.tif,zstack_slice,10.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0010.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0011_C00.tif,zstack_slice,11.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0011.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0012_C00.tif,zstack_slice,12.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0012.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0013_C00.tif,zstack_slice,13.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0013.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0014_C00.tif,zstack_slice,14.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0014.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0015_C00.tif,zstack_slice,15.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0015.png,train
Agglutinella soriformis,20,1,data/train_images/S020_A000_Z0016_C00.tif,zstack_slice,16.0,data/train_images/Agglutinella soriformis_20_view1_zstack_slice_z0016.png,train
