sample_index,source_path,true_species,noise_kind,noise_level,predicted_species,confidence,correct
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,0.0,Agglutinella soriformis,0.9929274916648864,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,5.0,Agglutinella soriformis,0.9900659322738647,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,10.0,Agglutinella soriformis,0.8100699186325073,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,25.0,Siphonaperta arenata,0.8982969522476196,0
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,50.0,Siphonaperta arenata,0.527190625667572,0
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,saltpepper,0.0,Agglutinella soriformis,0.9929274916648864,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,saltpepper,0.01,Agglutinella soriformis,0.9933678507804872,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,saltpepper,0.03,Agglutinella soriformis,0.9919837117195128,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,saltpepper,0.07,Agglutinella soriformis,0.9806013107299804,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,stretch,1.0,Agglutinella soriformis,0.9929274916648864,1
1,data/eval_images/Agglutinella soriformis_20_view4_stacked_tiff.png,Agglutinella soriformis,gaussian,0.0,Agglutinella soriformis,0.9926708936691284,1
1,data/eval_images/Agglutinella soriformis_20_view4_stacked_tiff.png,Agglutinella soriformis,gaussian,5.0,Agglutinella soriformis,0.9899426698684692,1
1,data/eval_images/Agglutinella soriformis_20_view4_stacked_tiff.png,Agglutinella soriformis,gaussian,10.0,Agglutinella soriformis,0.9308334589004515,1
