species,precision,recall,f1-score,support
Agglutinella soriformis,1.0,1.0,1.0,7.0
Ammoscalaria pseudospiralis,1.0,1.0,1.0,7.0
Amphicoryna scalaris,1.0,1.0,1.0,6.0
Amphistegina radiata,1.0,1.0,1.0,7.0
Bigenerina nodosaria,1.0,1.0,1.0,1.0
Cibicides corticatus,1.0,1.0,1.0,6.0
Cribroelphidium clavatum,1.0,1.0,1.0,6.0
Cylindroclavulina bradyi,0.0,0.0,0.0,7.0
Hoeglundina elegans,1.0,1.0,1.0,6.0
Karreriella bradyi,1.0,1.0,1.0,7.0
Lenticulina suborbicularis,1.0,1.0,1.0,6.0
Miliolinella circularis,1.0,1.0,1.0,7.0
Neorotalia calcar,1.0,1.0,1.0,6.0
Nodulina dentaliniformis,0.4615384615384615,1.0,0.631578947368421,6.0
Operculina ammonoides,1.0,1.0,1.0,7.0
Pseudotriloculina limbata,1.0,1.0,1.0,7.0
Pyrgo depressa,1.0,1.0,1.0,7.0
Pyrgo inornata,0.7,1.0,0.8235294117647058,7.0
Quinqueloculina bosciana,1.0,1.0,1.0,7.0
Quinqueloculina crassicarinata,1.0,0.7142857142857143,0.8333333333333334,7.0
Quinqueloculina pulchella,0.5,0.8571428571428571,0.631578947368421,7.0
Sahulia kerimbaensis,1.0,1.0,1.0,7.0
Siphonaperta arenata,1.0,1.0,1.0,7.0
Siphouvigerina proboscidea,1.0,1.0,1.0,6.0
Sorites orbiculus,1.0,1.0,1.0,7.0
Spiroloculina communis,0.875,1.0,0.9333333333333332,7.0
Spiroloculina ornata,1.0,1.0,1.0,7.0
Spirosigmoilina parri,1.0,0.4285714285714285,0.6,7.0
Spirotextularia floridana,1.0,1.0,1.0,6.0
Triloculina plicata,1.0,1.0,1.0,7.0
Triloculina trigonula,1.0,0.5714285714285714,0.7272727272727273,7.0
macro avg,0.9205334987593052,0.9216589861751152,0.9090524742077724,202.0
weighted avg,0.9172981721249048,0.915841584158416,0.9041228116619712,202.0
