species,precision,recall,f1,support,n_train
Bigenerina nodosaria,1.0,1.0,1.0,1.0,4
Siphonaperta arenata,1.0,1.0,1.0,7.0,80
Cribroelphidium clavatum,1.0,1.0,1.0,6.0,99
Ammoscalaria pseudospiralis,1.0,1.0,1.0,7.0,104
Amphicoryna scalaris,1.0,1.0,1.0,6.0,110
Cibicides corticatus,1.0,1.0,1.0,6.0,119
Cylindroclavulina bradyi,0.0,0.0,0.0,7.0,122
Siphouvigerina proboscidea,1.0,1.0,1.0,6.0,124
Nodulina dentaliniformis,0.4615384615384615,1.0,0.631578947368421,6.0,133
Spirotextularia floridana,1.0,1.0,1.0,6.0,135
Karreriella bradyi,1.0,1.0,1.0,7.0,136
Hoeglundina elegans,1.0,1.0,1.0,6.0,139
Agglutinella soriformis,1.0,1.0,1.0,7.0,141
Quinqueloculina bosciana,1.0,1.0,1.0,7.0,152
Lenticulina suborbicularis,1.0,1.0,1.0,6.0,165
Spirosigmoilina parri,1.0,0.4285714285714285,0.6,7.0,165
Pseudotriloculina limbata,1.0,1.0,1.0,7.0,167
Quinqueloculina crassicarinata,1.0,0.7142857142857143,0.8333333333333334,7.0,180
Spiroloculina ornata,1.0,1.0,1.0,7.0,182
Neorotalia calcar,1.0,1.0,1.0,6.0,194
Sorites orbiculus,1.0,1.0,1.0,7.0,212
Triloculina plicata,1.0,1.0,1.0,7.0,213
Operculina ammonoides,1.0,1.0,1.0,7.0,218
Pyrgo inornata,0.7,1.0,0.8235294117647058,7.0,219
Sahulia kerimbaensis,1.0,1.0,1.0,7.0,226
Amphistegina radiata,1.0,1.0,1.0,7.0,234
Quinqueloculina pulchella,0.5,0.8571428571428571,0.631578947368421,7.0,235
Pyrgo depressa,1.0,1.0,1.0,7.0,287
Miliolinella circularis,1.0,1.0,1.0,7.0,331
Spiroloculina communis,0.875,1.0,0.9333333333333332,7.0,345
Triloculina trigonula,1.0,0.5714285714285714,0.7272727272727273,7.0,392
