sample_index,source_path,true_species,noise_kind,noise_level,predicted_species,confidence,correct
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,0.0,Agglutinella soriformis,0.9996832609176636,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,5.0,Agglutinella soriformis,0.9946438074111938,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,10.0,Agglutinella soriformis,0.6834282875061035,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,25.0,Bigenerina nodosaria,0.8690736889839172,0
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,gaussian,50.0,Bigenerina nodosaria,0.6807622313499451,0
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,saltpepper,0.0,Agglutinella soriformis,0.9996832609176636,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,saltpepper,0.01,Agglutinella soriformis,0.9996570348739624,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,saltpepper,0.03,Agglutinella soriformis,0.9388540983200072,1
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,saltpepper,0.07,Bigenerina nodosaria,0.5836623907089233,0
0,data/eval_images/Agglutinella soriformis_20_view4_gif_original.png,Agglutinella soriformis,stretch,1.0,Agglutinella soriformis,0.9996832609176636,1
1,data/eval_images/Agglutinella soriformis_20_view4_stacked_tiff.png,Agglutinella soriformis,gaussian,0.0,Agglutinella soriformis,0.999616265296936,1
1,data/eval_images/Agglutinella soriformis_20_view4_stacked_tiff.png,Agglutinella soriformis,gaussian,5.0,Agglutinella soriformis,0.9979548454284668,1
1,data/eval_images/Agglutinella soriformis_20_view4_stacked_tiff.png,Agglutinella soriformis,gaussian,10.0,Agglutinella soriformis,0.9349021911621094,1
