species,precision,recall,f1-score,support
Agglutinella soriformis,1.0,1.0,1.0,7.0
Ammoscalaria pseudospiralis,1.0,1.0,1.0,7.0
Amphicoryna scalaris,1.0,1.0,1.0,6.0
Amphistegina radiata,1.0,1.0,1.0,7.0
Bigenerina nodosaria,1.0,1.0,1.0,1.0
Cibicides corticatus,1.0,1.0,1.0,6.0
Cribroelphidium clavatum,1.0,1.0,1.0,6.0
Cylindroclavulina bradyi,1.0,1.0,1.0,7.0
Hoeglundina elegans,1.0,1.0,1.0,6.0
Karreriella bradyi,1.0,1.0,1.0,7.0
Lenticulina suborbicularis,1.0,1.0,1.0,6.0
Miliolinella circularis,1.0,1.0,1.0,7.0
Neorotalia calcar,1.0,1.0,1.0,6.0
Nodulina dentaliniformis,1.0,1.0,1.0,6.0
Operculina ammonoides,1.0,1.0,1.0,7.0
Pseudotriloculina limbata,1.0,1.0,1.0,7.0
Pyrgo depressa,1.0,1.0,1.0,7.0
Pyrgo inornata,1.0,1.0,1.0,7.0
Quinqueloculina bosciana,1.0,1.0,1.0,7.0
Quinqueloculina crassicarinata,0.875,1.0,0.9333333333333332,7.0
Quinqueloculina pulchella,1.0,0.8571428571428571,0.9230769230769232,7.0
Sahulia kerimbaensis,1.0,1.0,1.0,7.0
Siphonaperta arenata,1.0,1.0,1.0,7.0
Siphouvigerina proboscidea,1.0,1.0,1.0,6.0
Sorites orbiculus,1.0,1.0,1.0,7.0
Spiroloculina communis,1.0,0.8571428571428571,0.9230769230769232,7.0
Spiroloculina ornata,1.0,1.0,1.0,7.0
Spirosigmoilina parri,1.0,1.0,1.0,7.0
Spirotextularia floridana,1.0,1.0,1.0,6.0
Triloculina plicata,0.875,1.0,0.9333333333333332,7.0
Triloculina trigonula,1.0,1.0,1.0,7.0
macro avg,0.9919354838709676,0.9907834101382488,0.9907361455748552,202.0
weighted avg,0.9913366336633664,0.99009900990099,0.99004823559279,202.0
